ONEOFF_PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,0,0,2259.461833,0,12
45,0.083333,0,312.893487,0,12
697.85,1,1,314.038049,0.166667,12
55,0.416667,0.333333,1102.79511,0,12
1620.6,0.5,0.1,1488.313908,0,10
169.9,1,1,1543.178369,0,12
30,1,0.916667,144.825209,0.777778,12
0,1,1,82.215933,0.25,12
138.5,0.5,0.416667,291.293418,0,12
0,1,1,1618.201652,0,12
0,1,0.916667,207.232063,0.1,12
0,0,0,1567.921939,0,12
931.7,1,1,245.295678,0.25,12
21802.6,1,0,562.887574,0.916667,12
0,0.25,0.166667,627.343242,0,12
0,0,0,929.686078,0.090909,12
0,0.333333,0.333333,2539.523493,0,12
325.66,0.333333,0,107.908566,0,12
176.85,0.166667,0,169.928063,1,12
482.51,0.833333,0.666667,179.204296,0.166667,12
1722.51,1,1,133.505122,0.833333,12
725,0.916667,0.833333,208.079912,0.25,12
6367.49,1,1,595.825281,0.25,12
426.92,0.416667,0,176.911112,0,12
0,0,0,,0,12
2269.45,1,1,266.749027,0,12
0,0.666667,0.666667,541.208044,0,12
2600,0.083333,0,49.283603,0,12
1638.97,0.833333,0.666667,1419.470367,0,12
288,0.083333,0,168.244932,0,12
897.45,0.583333,0.166667,1411.613705,0,12
0,0.416667,0.333333,2376.25517,0,12
128,0.5,0.416667,1327.177817,0,12
0,0,0,7.127887,0.5,10
0,0.166667,0.083333,161.234787,0,12
6754.38,1,1,263.250811,0.916667,12
517,0.272727,0,709.92275,0,11
0,0.416667,0.416667,450.605909,0.272727,12
20646.07,1,1,2921.628286,0,12
597.35,1,0.166667,177.91561,1,12
452.07,0.166667,0,66.852048,0,12
4726.17,0.833333,0.166667,86.731068,0.666667,12
0,0.5,0.416667,223.716043,0,12
0,0.916667,0.916667,163.523497,1,12
0,1,1,28.414675,0,12
0,1,1,,0,12
650.78,0.666667,0.5,82.491959,0.5,12
1400,0.3,0.1,474.632979,0,10
407,0.5,0.333333,1220.529171,0,12
75,0.916667,0.916667,661.183131,0,12
0,1,1,283.392145,0,12
0,1,0.833333,177.734472,1,12
0,0,0,239.868958,0.142857,12
0,0,0,1167.341625,0,10
849.92,0.75,0.416667,470.064242,0,12
34.74,0.1,0,405.748783,0,10
1669.8,1,0.833333,618.228223,0,12
33803.84,1,1,716.027656,1,12
2797.99,1,1,327.352843,0.083333,12
0,0.75,0.666667,164.479393,1,12
0,1,1,415.996627,0,12
270.02,0.083333,0,2425.197792,0,12
3263.48,0.583333,0,142.221091,1,12
1715.55,0.916667,0.666667,2228.715586,0,12
0,0.5,0.416667,66.781434,1,12
0,0.416667,0.416667,1642.343531,0,12
3420.97,0.25,0,1283.600242,0.125,12
0,1,1,440.321862,0,12
5093,0.833333,0.75,263.619684,0.583333,12
1845.75,1,1,205.244926,0.583333,12
4882.68,1,0.5,366.088817,0,12
3707.79,0.666667,0,4441.612219,0,12
262.92,0.916667,0,170.017741,0.636364,12
0,0.272727,0.181818,1471.250082,1,11
0,0,0,,0,12
601.46,0.583333,0.083333,532.846119,0,12
255,0.916667,0.916667,373.793958,0,12
1845.55,1,1,2137.893656,0,12
367.16,0.333333,0,632.040291,0,12
152.61,0.333333,0,584.926336,0,6
0,0,0,514.792875,0,12
0,0.666667,0.666667,177.721392,0,12
0,0,0,2062.636412,0,8
295.34,0.416667,0,1282.187993,0,12
1385.29,1,1,1886.056721,0,12
384.95,0.333333,0,86.348345,0.272727,12
0,0,0,270.257736,0,9
350,0.583333,0.5,127.768461,1,12
0,0.333333,0.333333,475.627205,0,12
0,0,0,905.546225,0,12
669.47,0.416667,0.083333,1336.751401,0,12
3195.21,0.583333,0.166667,152.410485,0.833333,12
3238.27,1,0.833333,503.201988,0,12
0,0,0,269.482212,0,12
19064.3,1,0.833333,1193.03103,0.583333,12
0,1,1,186.726083,1,12
0,0,0,717.310059,0,12
1063.85,0.833333,0.333333,176.001997,0.25,12
363.85,0.416667,0.416667,296.027848,0,12
0,0,0,1086.861867,0,12
991.58,1,0.5,762.149727,0,12
0,0,0,696.916536,0.111111,12
2301.11,1,1,181.027921,0.916667,12
1937.35,1,1,551.63308,0,12
0,0,0,,0,12
399.85,0.583333,0.25,379.58191,0,12
2004.03,1,1,600.897569,0.083333,12
938.2,1,0,182.443604,0.416667,12
83.97,0.333333,0.25,3520.422846,0,12
1695.03,0.916667,0.75,893.816089,0,12
0,1,0.916667,290.479763,0.090909,12
46,0.5,0.416667,173.630065,0.6,12
0,0,0,618.776921,0,12
0,0.222222,0.111111,1712.713459,0,9
4534.03,0.583333,0.5,6887.163504,0,12
39,0.083333,0,814.880073,0,12
4015.23,1,0,176.9102,0.916667,12
630,0.666667,0.666667,179.369855,0.583333,12
0,0,0,659.553866,0,12
0,0.9,0.8,146.723712,1,10
3096.1,0.916667,0.75,1727.487481,0,12
840,0.25,0.083333,181.271709,0,12
823.39,0.714286,0.285714,105.350665,0.25,7
1088.79,0.416667,0.416667,2098.664454,0,12
1845.42,0.25,0,855.360889,0.1,12
165,1,0.857143,101.919615,0.5,7
0,0.75,0.75,165.03489,0,12
640.5,0.75,0.75,190.21182,0.125,12
109.06,0.583333,0.416667,1736.821544,0,12
350.57,0.083333,0,19060.53475,0,12
0,1,1,28.452913,0,12
2125.07,0.75,0.416667,177.879065,0.636364,12
0,0,0,152.106855,0,12
61.99,0.083333,0,1587.042735,0,12
1088.83,0.833333,0.333333,178.06847,0.25,12
0,0,0,1112.634979,0,12
0,0,0,27146.02678,0,12
517.3,0.916667,0.416667,1027.885496,0,12
100,0.916667,0.833333,173.322076,1,12
0,0,0,1718.363679,0,12
0,0.916667,0.916667,160.071637,0.583333,12
0,0,0,1032.384353,0,12
0,0,0,1207.117316,0,12
343.15,0.916667,0.75,1573.961394,0,12
250,0.5,0.4,70.583398,0.25,10
675.53,0.166667,0,271.90089,0,12
332.52,0.166667,0.083333,194.55397,0,12
0,0.5,0.5,57.545594,0,12
141.96,0.25,0.083333,190.875362,0,12
0,0.416667,0.416667,12256.99852,0.083333,12
0,1,1,9627.891511,0,12
309.66,0.416667,0.083333,503.399492,0,12
1433.26,0.166667,0,2172.302786,0,12
0,0,0,2345.198755,0,12
0,0,0,1076.334465,0,12
3313,1,0.916667,561.918093,0,12
77,0.916667,0.916667,582.489074,0,12
2204.52,1,1,1322.868997,0,12
0,0,0,685.995885,0,12
0,0,0,348.943877,0.083333,12
3002.52,1,0.916667,192.561842,1,12
716.4,1,0.083333,752.616787,0,12
76.19,0.333333,0.166667,336.823302,0.428571,12
0,1,1,2739.343539,0.083333,12
0,1,1,183.380543,0.5,12
0,0,0,1329.881951,0,12
0,0,0,41.026459,0.166667,12
730.94,1,1,635.401109,0.083333,12
440,0.75,0.583333,173.484575,0.333333,12
1259.44,1,0.416667,250.283276,0,12
3256.15,0.916667,0,74.878694,0.25,12
0,0,0,1285.667565,0,11
1933.56,1,0.166667,185.380301,0.75,12
1823.23,0.75,0,2658.139243,0,12
1753.46,1,0,1121.296235,0,12
0,0.75,0.666667,1818.148035,0,12
0,1,1,163.367227,1,12
0,0,0,239.523143,0,12
0,0,0,,0,9
69.57,0.083333,0,83.449559,0,12
838.76,1,1,203.356235,0,12
1769.36,1,1,183.138427,0.181818,12
2788.81,0.727273,0,130.626533,0.714286,11
0,0,0,416.325411,0,12
60,0.083333,0,204.88001,0,12
0,0.5,0.416667,665.357143,0,12
0,0,0,148.644436,0,10
866.22,1,1,159.496615,0.545455,12
0,0,0,444.684235,0.090909,12
4900,0.166667,0,1637.629006,0,12
0,0.166667,0.166667,436.577474,0,12
1111.6,1,1,244.624549,0.416667,12
2807,1,1,284.024015,0.083333,12
0,0,0,897.29515,0,12
1607.63,0.833333,1,1192.462873,0.083333,12
430,0.833333,0.666667,141.256176,0.333333,12
137.84,0.166667,0,101.418698,0.166667,12
885.97,1,0.916667,174.477061,0.583333,12
468.33,0.8,0.7,157.872552,0,10
0,1,1,2996.008935,0,12
1281.14,1,0.916667,174.261548,0.5,12
0,0.333333,0.25,164.071552,0.666667,12
0,1,1,1566.969659,0,12
0,0,0,,0,12
0,1,1,2469.589072,0,12
683.93,0.416667,0.333333,177.969765,1,12
1201.42,1,1,167.998751,1,12
9689.36,1,1,299.249818,1,12
0,1,1,1229.779536,0,12
139.02,1,1,1070.026829,0.083333,12
435.14,0.166667,0,1102.402301,0,12
0,1,1,601.656779,0,12
3684.52,1,1,3364.021248,0.083333,12
0,0,0,1168.006176,0.083333,12
0,0.333333,0.25,143.808363,0.333333,12
526.12,1,0.75,2019.019279,0,12
804.4,1,1,333.50034,0,12
859.79,1,0.916667,166.497851,0.583333,12
10394.67,1,0.916667,352.090849,1,12
45.65,0.083333,0,9957.74274,0,12
2847.8,1,1,2621.071099,0,12
69,0.916667,0.916667,6422.472544,0,12
340.19,0.666667,0.416667,1433.734576,0,12
0,1,1,489.750966,0,12
460,1,1,419.784527,0,12
1424.05,0.916667,0.916667,4264.641552,0,12
0,1,0.916667,198.618741,0.333333,12
0,0,0,443.57704,0,9
3275,1,1,1542.926815,0,12
0,0,0,266.359712,0,12
0,0,0,1564.04788,0,12
0,0,0,2716.326216,0,12
0,0,0,56.150133,0.25,12
1002.8,0.583333,0.25,225.348166,0,12
0,1,0.916667,4804.430447,0,12
914,1,1,129.508802,0.545455,12
0,0,0,344.758313,0,12
3884.1,0.833333,0.75,4299.471274,0,12
232.8,0.25,0,328.114324,0.083333,12
0,0,0,311.075432,0,12
569.91,0.272727,0,3937.465141,0,11
656.2,1,0,1496.978704,0,12
0,0,0,260.277533,0,12
0,0.916667,0.833333,946.189043,0,12
1671.6,0.916667,0.833333,171.648662,1,12
222,0.5,0.5,1405.916655,0,12
151.33,0.166667,0,132.752406,0.5,12
0,0.25,0.25,3228.084937,0,12
0,0,0,2145.585863,0,12
921.1,0.833333,0.833333,745.734369,0,12
576.13,1,1,4247.46441,0,12
25.26,0.083333,0,815.400611,0,12
0,0,0,955.260042,0,12
0,0,0,517.593629,0,12
0,0,0,2228.516092,0,12
0,0,0,508.668881,0,12
0,1,1,2134.562981,0,12
519,0.083333,0,69.241728,0,12
363.18,1,0,795.859808,0,12
249.21,1,1,188.241729,0.083333,12
151.64,0.090909,0,337.424016,0,11
115.8,0.375,0.375,459.980824,0,8
34.32,0.083333,0.083333,382.929831,0.083333,12
0,0,0,2233.338791,0,12
0,0,0,755.628834,0.166667,12
105,0.083333,0,174.978044,0,12
663.04,0.75,0,447.234777,0,12
669.21,1,1,147.450493,0.545455,12
695.04,0.666667,0.5,1190.488094,0,12
100,0.083333,0,1101.99844,0,12
4045.67,1,1,2998.465025,0,12
0,0,0,941.569,0,12
0,0,0,,0,12
290,0.583333,0.416667,1096.264703,0,12
312.4,1,0.916667,171.595701,0.75,12
0,0.833333,0.75,684.453198,0,12
2469.41,0.5,0.166667,188.185292,0,12
1702.72,1,1,1206.79054,0,12
0,0,0,341.269008,0,12
878.7,1,0.75,180.605564,0.5,12
1774.91,0.916667,0.666667,1194.290831,0,12
0,0.818182,0.818182,189.443558,0,11
501.85,0.666667,0.666667,3999.109938,0,12
241.27,0.083333,0,204.561603,0,12
0,0,0,1162.586801,0,12
209.07,0.083333,0,2818.721047,0,12
0,0.5,0.5,98.722488,0.545455,12
603.6,0.75,0.583333,177.258588,1,12
0,0.666667,0.666667,1795.652542,0,12
2568.35,1,1,3453.797867,0,12
0.01,0.583333,0.583333,227.892037,0,12
32.71,0.583333,0.5,175.898057,1,12
0,0.416667,0.416667,10800.04619,0.083333,12
757.8,0.75,0.166667,1296.173027,0,12
0,0.666667,0.666667,2949.001145,0,12
3825.87,1,1,1468.156345,0,12
0,1,1,,0,12
1037.8,1,1,3446.470208,0,12
1161.47,1,1,1830.532435,0,12
0,0,0,64.977254,0,10
301,0.416667,0.166667,519.561892,0.285714,12
508.94,1,0,164.997774,0.4,12
319.62,0.666667,0,168.622192,0,12
400,0.083333,0,939.459896,0,12
2880.91,1,1,6687.965212,0.083333,12
820.42,0.666667,0,686.941106,0,12
104,0.090909,0,512.458262,0,11
0,0.166667,0.166667,1317.330243,0,12
152,1,1,170.609681,0,12
0,0,0,1160.439791,0,11
1676.11,1,1,962.880942,0,12
0,0,0,1539.532191,0,12
231.29,0.5,0.166667,188.836554,0.3,12
0,1,1,193.830954,0,12
0,1,1,176.531272,0.916667,12
0,0.833333,0.75,187.144712,0,12
424,0.416667,0.166667,25.455716,0,12
860.5,0.916667,0.416667,1064.251367,0,12
0,0.916667,0.916667,186.52878,0,12
0,0,0,637.97592,0,10
721.67,0.916667,0.916667,1308.759437,0,12
0,0.25,0.166667,168.561947,1,12
0,0,0,504.836908,0,12
3975,0.416667,0,667.024916,0,12
1600.99,0.75,0.583333,110.44378,0.454545,12
0,0,0,303.152869,0.111111,12
45.65,0.75,0.75,192.645506,0.25,12
0,0,0,273.128967,0,12
425.35,0.833333,0.666667,282.489805,0,12
0,0.666667,0.583333,178.045751,0,12
0,0,0,283.359039,0,11
0,0.833333,0.75,193.410391,0.333333,12
0,0.333333,0.333333,32.779615,0,12
1257.32,1,1,399.110239,0,12
987.59,1,0.916667,1837.003889,0,12
90.51,0.083333,0,230.983088,0,12
0,0.083333,0.083333,1307.447265,0,12
689.09,1,0.166667,171.056157,0,12
649.14,0.5,0.083333,775.796181,0,12
0,0,0,124.094651,0.090909,12
1160.65,0.5,0,93.234625,0.3,12
341,0.333333,0.333333,110.535797,0,12
23.65,0.333333,0.25,222.733821,1,12
0,0,0,149.40891,0,7
0,0.833333,0.833333,81.334001,0.363636,12
1260.13,0.2,0,238.440314,0,10
1640.05,1,1,966.350823,0,12
45.45,0.083333,0,439.577818,0,12
0,0,0,754.672615,0,12
0,1,0.857143,298.330185,0,7
1304.96,0.25,0,402.131301,0,12
64.9,0.75,0.666667,154.164663,0.777778,12
94,0.25,0,218.279194,0,12
0,0.5,0.5,153.668941,0,12
0,0,0,1093.098388,0,8
2438.85,0.916667,0.75,679.379333,0,12
3544.31,0.916667,0.416667,846.555233,0.083333,12
0,0,0,2530.438744,0,12
0,0,0,626.075406,0.166667,12
1230.31,1,1,170.955794,0.083333,12
116.09,0.333333,0.166667,1266.931932,0,12
586.29,0.583333,0.416667,148.095996,0.875,12
0,0.833333,0.75,1460.924018,0,12
282.6,0.75,0.583333,345.156866,0,12
263.5,0.416667,0.166667,381.780101,0,12
2603.79,1,1,3838.484817,0,12
516.9,0.545455,0.363636,537.180986,0.142857,11
89,1,1,176.24916,0.090909,12
1059.38,1,1,613.846694,0,12
0,0,0,244.822266,0,12
1025.19,0.5,0.166667,1921.636378,0,12
95.94,1,1,500.750411,0,12
0,0,0,1555.563621,0,12
0,0,0,5601.587776,0,12
186.03,0.833333,0.583333,856.600588,0,12
189.03,0.545455,0.363636,259.501896,0,11
0,0.75,0.75,6059.764322,0,12
0,0,0,2245.846623,0,12
98,0.125,0,1642.26745,0,8
0,1,1,175.276653,1,12
0,0.666667,0.666667,123.057328,0.75,12
0,0,0,513.397785,0,12
74,1,0.916667,193.267629,0,12
76,0.916667,0.833333,1036.05709,0,12
0,1,1,487.037113,0,12
0,0,0,601.121867,0,12
0,0,0,1206.81646,0,10
0,0,0,391.114652,0,12
0,0,0,3244.712702,0,11
159.91,1,0.916667,2931.217581,0,12
0,0,0,633.691762,0,6
0,0,0,179.172425,0,12
109,0.333333,0.166667,173.057909,0,12
280,0.125,0,129.180504,0.142857,8
45.65,0.083333,0,5104.500905,0,12
280.24,0.125,0,77.662523,0,8
6678.26,1,1,2074.900111,0.083333,12
75,0.916667,0.916667,1608.307521,0,12
918.67,0.583333,0,376.716571,0,12
265.6,1,1,245.887258,0,12
0,0.833333,0.75,82.820029,0.2,12
412.69,0.916667,0.833333,156.994712,0.363636,12
71.9,1,1,1100.812257,0,12
0,0,0,1362.230185,0,12
0,0,0,654.751791,0.125,12
118.9,1,1,764.627545,0,12
3609.24,1,0.833333,492.87619,0,12
1965.41,0.5,0.416667,1495.799354,0,12
15.4,0.083333,0,198.933162,0,12
108.71,1,0.888889,134.119873,0.428571,9
617.4,1,1,1834.59712,0,12
0,0.583333,0.583333,1691.887852,0,12
1556.19,0.666667,0.5,1313.883915,0,12
58,0.416667,0.416667,179.244755,0,12
7253.28,0.75,0.25,722.986478,0,12
32,0.083333,0,385.237167,0,12
0,1,0.888889,288.48652,0,9
486.01,0.833333,0,164.607409,0,12
0,0,0,283.18296,0,12
0,0,0,459.782873,0,12
0,1,1,157.90404,0.083333,12
0,0.75,0.666667,1268.590924,0,12
17.8,0.083333,0,737.68264,0.5,12
0,0.454545,0.454545,85.843124,0.5,11
0,0,0,487.912459,0.166667,8
0,0.333333,0.25,2095.016662,0,12
253.99,1,1,537.415298,0,12
0,0,0,693.582286,0,12
876.3,1,0.083333,168.173968,0.181818,12
333.08,0.416667,0,1634.9904,0,12
124.51,0.833333,0.666667,175.869439,0.181818,12
0,0.833333,0.833333,0.019163,0,12
1788.3,1,0.5,186.937922,0.083333,12
55,0.083333,0,1323.695647,0,12
1500,0.083333,0,672.964531,0,12
469.78,0.25,0.166667,69.378949,0,12
937.65,1,0.416667,2618.798545,0,12
0,0,0,748.95592,0,12
0,1,1,179.8235,1,12
3301.53,1,1,173.296445,0.2,12
0,0,0,558.162379,0,12
0,0,0,3284.528716,0,12
45.65,1,1,8289.636536,0,12
674.57,0.75,0,1017.533824,0,12
12618.86,1,0.916667,310.712671,0.916667,12
98,0.083333,0,556.407341,0,12
963.21,1,0,1252.200387,0,6
161.5,0.166667,0,475.983876,0.111111,12
37.65,0.083333,0,56.690917,0,12
264.42,0.777778,0.666667,127.327376,0.6,9
1686,1,0.75,1003.87006,0,12
0,0,0,740.836747,0,12
49,0.666667,0.583333,138.420441,0.272727,12
0,0,0,166.965184,0,12
0,0,0,2531.968747,0,12
0,0,0,569.427263,0,12
0,0,0,3385.385063,0,12
408.83,0.583333,0.5,454.602396,0,12
1115,0.083333,0,289.110551,0,12
32.35,0.083333,0,1163.798856,0,12
0,1,0.916667,747.131941,0,12
0,0,0,935.43069,0,7
653,0.583333,0.416667,382.086744,0,12
373.65,0.416667,0.25,375.38376,0,12
520,0.25,0.166667,238.591204,0,12
119,1,1,583.437092,0.083333,12
303.6,0.333333,0.25,825.271126,0,12
0,0,0,452.041254,0,12
4678.79,1,1,1395.715133,0,12
803.17,1,1,391.624583,0,12
246.75,0.416667,0,151.26551,0,12
546.14,1,1,632.994269,0,12
0,0,0,607.30396,0,12
0,0.833333,0.75,2529.594963,0,12
0,0.666667,0.583333,344.810116,0,12
689.4,1,0,328.045032,0,12
45.65,1,1,3497.894585,0.083333,12
4892.43,1,1,219.062841,1,12
5098.75,1,1,645.403234,0,12
60,0.083333,0,,0,12
114.49,0.083333,0,,0,12
1497.02,0.75,0,848.769861,0,12
3721.39,0.5,0,156.580586,0.714286,12
303.1,0.666667,0.333333,129.682608,0,12
0,1,1,227.64056,0,12
0,0.833333,0.75,462.38019,0.083333,12
325,0.916667,0.666667,167.403184,0.583333,12
979.36,0.166667,0.083333,2767.052658,0,12
0,0,0,242.578058,0,12
0,0,0,1496.831824,0,12
117.39,1,0.916667,523.962466,0,12
0,0,0,4486.832622,0,12
86.1,0.125,0,1309.847772,0,8
796.66,1,1,1105.554363,0,12
0,0.416667,0.333333,410.225607,0,12
0,1,1,871.852779,0,12
69,0.083333,0,469.230578,0,12
2,0.083333,0,464.860442,0.083333,12
529,0.166667,0,932.394545,0,12
2604,1,1,4513.48893,0.083333,12
1937.7,1,0,169.00964,0.916667,12
0,0.3,0.2,1379.468717,0,10
0,0,0,468.194223,0,12
0,0,0,1535.930262,0.1,12
3862.79,1,1,1780.353532,0,12
0,0.5,0.416667,93.717243,0.75,12
293,0.333333,0.25,867.128283,0,12
4021.77,1,1,788.689176,0,12
4247.87,0.833333,0.166667,806.9871,0,12
0,0,0,912.399567,0,12
257,0.333333,0.166667,271.464874,0,12
90.01,0.166667,0,1064.27255,0,12
2715.52,1,1,941.610478,0,12
500,0.142857,0.142857,,0,7
0,0,0,69.124834,0.083333,12
0,0,0,708.09871,0,7
19.98,0.083333,0,1159.310924,0,12
205.89,0.25,0,490.885882,0,12
0,0.285714,0.142857,422.308422,0,7
68.42,0.166667,0.083333,535.880979,0,12
60.2,1,1,190.253479,1,12
4240.41,0.333333,0,127.311184,1,12
75,1,1,178.065401,0,12
0,0,0,1572.30984,0,12
4285.11,1,0.833333,350.182281,0.333333,12
0,0.583333,0.5,1014.858941,0,12
0,0.166667,0.166667,126.009475,0,12
4149.47,1,0.833333,366.740483,0.083333,12
0.01,0.090909,0,520.255336,0.125,11
0,1,0.916667,170.557326,0.75,12
4664.84,1,0.583333,910.850489,0,12
712.87,0.083333,0,364.139587,0,12
43,1,1,2959.401317,0,12
574.28,0.833333,0.75,2144.047631,0,12
1170,0.75,0.416667,464.932133,0,12
1671.09,1,1,685.226291,0,12
0,0,0,167.149574,0,12
2430,1,1,431.443631,0.083333,12
0,0.25,0.166667,320.830162,0,12
427.22,1,0.363636,886.050237,0,11
0,0.416667,0.333333,1818.174017,0,12
2926.43,1,1,2351.640064,0,12
0,0,0,262.804339,0,12
465.36,0.25,0,2302.03915,0,12
0,0,0,85.271802,0.5,7
4005.81,0.75,0.25,2045.063933,0.111111,12
0,1,1,539.543528,0,12
230.43,1,1,183.557875,0.75,12
2024.6,1,1,955.03756,0,12
0,0,0,152.648955,0.285714,10
0,0,0,199.745472,0,6
143.12,0.1,0,286.845297,0,10
0,0.416667,0.416667,184.739137,0.571429,12
0,0,0,673.452218,0,12
0,0,0,799.436291,0.25,12
122.86,0.5,0.416667,92.899006,0.4,12
567.76,0.5,0.083333,275.434078,0,12
72.84,0.083333,0,216.289689,0,12
0,0,0,622.651831,0,12
0,0,0,880.459505,0,12
265.92,1,0.25,181.197901,0.916667,12
0,0,0,659.746433,0,12
1660.51,1,0.916667,173.610118,0.727273,12
278.63,1,1,185.277576,0.5,12
0,0,0,808.539833,0,12
1408.82,0.833333,0.666667,253.774892,0,12
796.11,0.083333,0,1559.810579,0,12
2461.9,0.166667,0,1143.939064,0,12
302.05,1,1,217.082846,0,12
802.77,1,0.333333,162.528519,0.636364,12
0,0,0,418.236345,0,9
0,0,0,280.243063,0,12
0,0,0,473.106541,0,12
0,0,0,1005.215148,0,12
0,0,0,364.18588,0,12
0,0.833333,0.75,411.544387,0,12
94.7,0.166667,0,284.605261,0,12
509.9,1,1,1209.124265,0,12
238,1,1,178.930636,0.833333,12
193.5,0.583333,0.333333,157.374987,0.625,12
1040.99,0.166667,0.083333,208.55975,0,12
0,0.5,0.416667,172.959558,0.5,12
808.12,1,1,190.88614,0.75,12
38,0.333333,0.166667,606.89303,0,12
0,0,0,2793.752245,0,12
1178.02,1,1,170.010384,0.833333,12
60,0.083333,0,208.976648,0,12
0,1,1,165.656889,0,12
0,0.333333,0.25,211.761556,0,12
64.17,1,1,188.635203,0.75,12
344.86,0.25,0,185.217625,0,12
1616.76,1,0.5,414.775083,0,12
0,0,0,919.457678,0,12
649,1,1,954.24196,0,12
2569.94,0.363636,0,164.400313,0.714286,11
153.11,0.2,0,,0,10
6814.47,1,0,1643.130029,0,12
0,0.583333,0.583333,179.548143,0,12
0,0.5,0.416667,499.536689,0,12
4019.28,0.833333,0,276.007263,0.272727,12
452.96,0.833333,0.416667,229.465974,0,12
0,0,0,853.680867,0.111111,12
0,0,0,308.89183,0,12
435.08,0.916667,0,180.308803,0.2,12
0,0.5,0.416667,89.18596,0.444444,12
1597.67,1,0.833333,1676.595311,0,6
402.68,1,1,2967.748073,0,12
802.1,0.916667,0,171.20871,0.818182,12
0,0,0,1220.49839,0,12
0,0,0,1249.695933,0,12
2116.92,1,0.75,293.129375,0,12
1262.04,1,0.75,306.046439,0.083333,12
133.5,0.583333,0.5,5394.173671,0,12
780,0.166667,0,14.037214,0,12
419.88,0.833333,0.666667,295.29696,0,12
0,1,0.916667,176.632334,0.833333,12
50,0.083333,0,260.16707,0,12
558.69,1,1,387.054045,0,12
0,1,1,429.760387,0,12
0,0,0,788.721609,0,12
0,0,0,687.079273,0,12
0,1,0.916667,81.765863,0,12
493.5,0.25,0,3396.356156,0.272727,12
0,0.166667,0.083333,,0,12
0,0,0,461.041625,0.090909,11
0,0.833333,0.833333,170.572744,0,12
0,0,0,421.748003,0,12
0,0,0,531.19984,0,8
95,1,0.833333,188.896158,0.083333,12
0,0.916667,0.916667,4.390918,0,12
537.21,1,1,182.612129,1,12
0,1,1,,0,12
548,0.25,0,1330.173932,0,12
0,0,0,477.944936,0,12
250,0.083333,0,867.201399,0,12
741.44,1,0.25,1419.287973,0,12
0,1,1,1698.885114,0,12
0,0,0,671.834242,0,12
293.41,0.916667,0.833333,807.263772,0,12
237.99,0.166667,0,195.089406,0,12
1141.99,0.5,0.416667,1151.777196,0,12
2182.22,1,0.416667,188.130216,0.916667,12
0,0,0,1291.809944,0,12
0,0,0,523.282646,0,12
0,0,0,395.69903,0,10
0,0,0,582.879568,0,12
160,0.083333,0,389.63531,0,12
1,0.083333,0,947.691932,0,12
0,0.416667,0.416667,163.678855,0,12
0,0,0,2715.036678,0,11
0,0.916667,0.833333,3167.849654,0,12
59.4,0.083333,0,213.16029,0.25,12
273.8,0.083333,0,259.524372,1,12
0,0,0,654.301721,0,12
33.62,0.416667,0.25,149.884294,0.2,12
0,0.333333,0.333333,324.359117,0,12
1584.4,0.75,0.416667,446.67084,0,12
2452.56,1,0.818182,768.82697,0,11
1938.13,1,1,1245.153414,0,12
793.1,0.583333,0,1290.536388,0,12
0,0.75,0.666667,128.455136,0.125,12
2338.83,0.916667,0,223.469126,0.666667,12
0,1,1,174.11997,0.833333,12
90,0.083333,0,2091.528879,0,12
0,0,0,288.438136,0,12
990.46,1,1,4231.06356,0,12
0,0.083333,0.083333,224.709183,0,12
8.4,1,0,1917.458466,0,12
0,0,0,1486.185877,0,12
1109.91,0.5,0,89.478836,1,10
694.89,1,0.727273,159.547502,1,11
1227.08,1,0.666667,188.333341,0,12
565,0.25,0,471.295665,0,12
369.55,1,1,450.459621,0,12
0,0.333333,0.333333,227.924469,0,12
0,1,1,350.27437,0.4,12
0,0.1,0.1,,0,10
0,0,0,335.731533,0,12
2170,1,0.916667,193.157628,0.25,12
464.39,0.666667,0.416667,382.658882,0.25,12
0,0,0,515.444012,0,12
318.79,0.2,0,56.679587,0,10
0,0,0,250.170305,0,12
137.3,0.916667,0.916667,167.657169,0.6,12
0,0.416667,0.416667,24.499337,0,12
1364.22,0.916667,0.916667,1615.317615,0,12
0,0.666667,0.583333,146.317275,0.285714,12
0,0,0,484.32512,0,12
2303.91,0.583333,0.166667,261.268016,0,12
664.21,1,0.333333,1332.067827,0,12
0,0,0,183.86589,0,9
527.78,0.583333,0.333333,164.15189,0.444444,12
101.28,0.909091,0.909091,367.503207,0.181818,11
0,0,0,1078.537276,0.166667,12
945.79,1,0.5,174.857103,0.5,12
1443.33,0.083333,0,1420.666789,0,12
400,0.083333,0,71.377094,0,12
413.28,1,1,1212.047288,0,12
0,1,1,166.788652,1,12
0,0,0,577.463579,0.181818,11
112.57,0.25,0,379.959706,0,12
0,0,0,362.565529,0.083333,12
1245.33,0.5,0,1531.220292,0,12
140.2,1,0,591.069406,0,12
2804.79,1,0.5,53.62807,1,12
107.15,0.333333,0.25,181.597864,0.083333,12
703.58,0.916667,0.75,706.199917,0,12
318.91,0.583333,0.25,228.165965,0,12
300,1,1,3175.27696,0,12
540,0.818182,0,247.620077,0.090909,11
1852.06,1,0.166667,425.204466,0.111111,12
542.97,0.416667,0.25,1898.480847,0,12
3974.7,1,0.75,204.763572,0.916667,12
