BALANCE_FREQUENCY,ONEOFF_PURCHASES,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,MINIMUM_PAYMENTS,TENURE
1,501.85,0.166667,0.666667,3999.109938,12
0.363636,241.27,0.083333,0,204.561603,12
1,0,0,0,1162.586801,12
1,209.07,0.083333,0,2818.721047,12
0.545455,0,0,0.5,98.722488,12
0.818182,603.6,0.416667,0.583333,177.258588,12
1,0,0,0.666667,1795.652542,12
1,2568.35,0.833333,1,3453.797867,12
0.454545,0.01,0.083333,0.583333,227.892037,12
0.636364,32.71,0.083333,0.5,175.898057,12
1,0,0,0.416667,10800.04619,12
1,757.8,0.75,0.166667,1296.173027,12
1,0,0,0.666667,2949.001145,12
1,3825.87,0.25,1,1468.156345,12
0,0,0,1,,12
1,1037.8,0.333333,1,3446.470208,12
1,1161.47,0.833333,1,1830.532435,12
0.5,0,0,0,64.977254,10
0.909091,301,0.333333,0.166667,519.561892,12
1,508.94,1,0,164.997774,12
1,319.62,0.666667,0,168.622192,12
1,400,0.083333,0,939.459896,12
1,2880.91,0.583333,1,6687.965212,12
1,820.42,0.666667,0,686.941106,12
1,104,0.090909,0,512.458262,11
1,0,0,0.166667,1317.330243,12
1,152,0.25,1,170.609681,12
1,0,0,0,1160.439791,11
1,1676.11,0.75,1,962.880942,12
1,0,0,0,1539.532191,12
0.909091,231.29,0.25,0.166667,188.836554,12
1,0,0,1,193.830954,12
1,0,0,1,176.531272,12
1,0,0,0.75,187.144712,12
0.454545,424,0.166667,0.166667,25.455716,12
1,860.5,0.666667,0.416667,1064.251367,12
1,0,0,0.916667,186.52878,12
0.5,0,0,0,637.97592,10
1,721.67,0.333333,0.916667,1308.759437,12
0.272727,0,0,0.166667,168.561947,12
1,0,0,0,504.836908,12
1,3975,0.416667,0,667.024916,12
0.818182,1600.99,0.666667,0.583333,110.44378,12
1,0,0,0,303.152869,12
1,45.65,0.083333,0.75,192.645506,12
1,0,0,0,273.128967,12
1,425.35,0.25,0.666667,282.489805,12
1,0,0,0.583333,178.045751,12
0.909091,0,0,0,283.359039,11
1,0,0,0.75,193.410391,12
0.272727,0,0,0.333333,32.779615,12
1,1257.32,0.416667,1,399.110239,12
1,987.59,0.25,0.916667,1837.003889,12
0.818182,90.51,0.083333,0,230.983088,12
1,0,0,0.083333,1307.447265,12
1,689.09,1,0.166667,171.056157,12
1,649.14,0.333333,0.083333,775.796181,12
0.272727,0,0,0,124.094651,12
0.636364,1160.65,0.5,0,93.234625,12
1,341,0.083333,0.333333,110.535797,12
0.545455,23.65,0.083333,0.25,222.733821,12
1,0,0,0,149.40891,7
0.545455,0,0,0.833333,81.334001,12
1,1260.13,0.2,0,238.440314,10
1,1640.05,0.666667,1,966.350823,12
1,45.45,0.083333,0,439.577818,12
1,0,0,0,754.672615,12
1,0,0,0.857143,298.330185,7
1,1304.96,0.25,0,402.131301,12
0.909091,64.9,0.083333,0.666667,154.164663,12
1,94,0.25,0,218.279194,12
0.636364,0,0,0.5,153.668941,12
1,0,0,0,1093.098388,8
1,2438.85,0.75,0.75,679.379333,12
1,3544.31,0.75,0.416667,846.555233,12
1,0,0,0,2530.438744,12
1,0,0,0,626.075406,12
1,1230.31,1,1,170.955794,12
1,116.09,0.166667,0.166667,1266.931932,12
0.727273,586.29,0.25,0.416667,148.095996,12
1,0,0,0.75,1460.924018,12
1,282.6,0.333333,0.583333,345.156866,12
1,263.5,0.25,0.166667,381.780101,12
1,2603.79,0.916667,1,3838.484817,12
0.818182,516.9,0.272727,0.363636,537.180986,11
1,89,0.083333,1,176.24916,12
1,1059.38,0.833333,1,613.846694,12
1,0,0,0,244.822266,12
1,1025.19,0.5,0.166667,1921.636378,12
1,95.94,0.083333,1,500.750411,12
1,0,0,0,1555.563621,12
1,0,0,0,5601.587776,12
1,186.03,0.166667,0.583333,856.600588,12
1,189.03,0.181818,0.363636,259.501896,11
1,0,0,0.75,6059.764322,12
1,0,0,0,2245.846623,12
1,98,0.125,0,1642.26745,8
1,0,0,1,175.276653,12
0.818182,0,0,0.666667,123.057328,12
1,0,0,0,513.397785,12
1,74,0.25,0.916667,193.267629,12
1,76,0.083333,0.833333,1036.05709,12
1,0,0,1,487.037113,12
1,0,0,0,601.121867,12
0.5,0,0,0,1206.81646,10
1,0,0,0,391.114652,12
1,0,0,0,3244.712702,11
1,159.91,0.25,0.916667,2931.217581,12
1,0,0,0,633.691762,6
0.363636,0,0,0,179.172425,12
1,109,0.083333,0.166667,173.057909,12
0.875,280,0.125,0,129.180504,8
1,45.65,0.083333,0,5104.500905,12
0.5,280.24,0.125,0,77.662523,8
1,6678.26,1,1,2074.900111,12
1,75,0.083333,0.916667,1608.307521,12
1,918.67,0.583333,0,376.716571,12
1,265.6,0.25,1,245.887258,12
0.727273,0,0,0.75,82.820029,12
1,412.69,0.333333,0.833333,156.994712,12
1,71.9,0.166667,1,1100.812257,12
1,0,0,0,1362.230185,12
0.727273,0,0,0,654.751791,12
1,118.9,0.083333,1,764.627545,12
1,3609.24,1,0.833333,492.87619,12
1,1965.41,0.5,0.416667,1495.799354,12
1,15.4,0.083333,0,198.933162,12
1,108.71,0.222222,0.888889,134.119873,9
1,617.4,0.916667,1,1834.59712,12
1,0,0,0.583333,1691.887852,12
1,1556.19,0.583333,0.5,1313.883915,12
1,58,0.083333,0.416667,179.244755,12
1,7253.28,0.5,0.25,722.986478,12
1,32,0.083333,0,385.237167,12
1,0,0,0.888889,288.48652,9
1,486.01,0.833333,0,164.607409,12
1,0,0,0,283.18296,12
1,0,0,0,459.782873,12
1,0,0,1,157.90404,12
1,0,0,0.666667,1268.590924,12
0.363636,17.8,0.083333,0,737.68264,12
0.545455,0,0,0.454545,85.843124,11
0.875,0,0,0,487.912459,8
1,0,0,0.25,2095.016662,12
1,253.99,0.25,1,537.415298,12
0.545455,0,0,0,693.582286,12
1,876.3,1,0.083333,168.173968,12
1,333.08,0.416667,0,1634.9904,12
1,124.51,0.166667,0.666667,175.869439,12
0.181818,0,0,0.833333,0.019163,12
1,1788.3,1,0.5,186.937922,12
1,55,0.083333,0,1323.695647,12
1,1500,0.083333,0,672.964531,12
0.545455,469.78,0.166667,0.166667,69.378949,12
1,937.65,1,0.416667,2618.798545,12
1,0,0,0,748.95592,12
1,0,0,1,179.8235,12
0.909091,3301.53,0.833333,1,173.296445,12
1,0,0,0,558.162379,12
1,0,0,0,3284.528716,12
1,45.65,0.083333,1,8289.636536,12
1,674.57,0.75,0,1017.533824,12
1,12618.86,0.916667,0.916667,310.712671,12
1,98,0.083333,0,556.407341,12
1,963.21,1,0,1252.200387,6
0.818182,161.5,0.166667,0,475.983876,12
0.272727,37.65,0.083333,0,56.690917,12
0.777778,264.42,0.444444,0.666667,127.327376,9
1,1686,0.75,0.75,1003.87006,12
1,0,0,0,740.836747,12
1,49,0.083333,0.583333,138.420441,12
0.272727,0,0,0,166.965184,12
1,0,0,0,2531.968747,12
1,0,0,0,569.427263,12
1,0,0,0,3385.385063,12
1,408.83,0.166667,0.5,454.602396,12
1,1115,0.083333,0,289.110551,12
1,32.35,0.083333,0,1163.798856,12
1,0,0,0.916667,747.131941,12
0.857143,0,0,0,935.43069,7
1,653,0.333333,0.416667,382.086744,12
1,373.65,0.25,0.25,375.38376,12
0.727273,520,0.083333,0.166667,238.591204,12
1,119,0.083333,1,583.437092,12
1,303.6,0.083333,0.25,825.271126,12
1,0,0,0,452.041254,12
1,4678.79,1,1,1395.715133,12
1,803.17,0.583333,1,391.624583,12
0.272727,246.75,0.416667,0,151.26551,12
1,546.14,0.333333,1,632.994269,12
1,0,0,0,607.30396,12
1,0,0,0.75,2529.594963,12
1,0,0,0.583333,344.810116,12
1,689.4,1,0,328.045032,12
1,45.65,0.083333,1,3497.894585,12
1,4892.43,1,1,219.062841,12
1,5098.75,0.916667,1,645.403234,12
0.181818,60,0.083333,0,,12
1,114.49,0.083333,0,,12
1,1497.02,0.75,0,848.769861,12
0.909091,3721.39,0.5,0,156.580586,12
0.636364,303.1,0.416667,0.333333,129.682608,12
1,0,0,1,227.64056,12
1,0,0,0.75,462.38019,12
1,325,0.166667,0.666667,167.403184,12
1,979.36,0.166667,0.083333,2767.052658,12
1,0,0,0,242.578058,12
1,0,0,0,1496.831824,12
1,117.39,0.166667,0.916667,523.962466,12
1,0,0,0,4486.832622,12
0.625,86.1,0.125,0,1309.847772,8
1,796.66,0.333333,1,1105.554363,12
1,0,0,0.333333,410.225607,12
1,0,0,1,871.852779,12
1,69,0.083333,0,469.230578,12
1,2,0.083333,0,464.860442,12
1,529,0.166667,0,932.394545,12
1,2604,0.583333,1,4513.48893,12
1,1937.7,1,0,169.00964,12
0.9,0,0,0.2,1379.468717,10
1,0,0,0,468.194223,12
0.909091,0,0,0,1535.930262,12
1,3862.79,0.916667,1,1780.353532,12
0.545455,0,0,0.416667,93.717243,12
1,293,0.166667,0.25,867.128283,12
1,4021.77,0.583333,1,788.689176,12
1,4247.87,0.666667,0.166667,806.9871,12
0.363636,0,0,0,912.399567,12
1,257,0.166667,0.166667,271.464874,12
1,90.01,0.166667,0,1064.27255,12
1,2715.52,0.416667,1,941.610478,12
0.142857,500,0.142857,0.142857,,7
1,0,0,0,69.124834,12
0.857143,0,0,0,708.09871,7
1,19.98,0.083333,0,1159.310924,12
1,205.89,0.25,0,490.885882,12
1,0,0,0.142857,422.308422,7
1,68.42,0.166667,0.083333,535.880979,12
1,60.2,0.083333,1,190.253479,12
0.818182,4240.41,0.333333,0,127.311184,12
1,75,0.083333,1,178.065401,12
1,0,0,0,1572.30984,12
1,4285.11,0.75,0.833333,350.182281,12
1,0,0,0.5,1014.858941,12
0.272727,0,0,0.166667,126.009475,12
1,4149.47,0.583333,0.833333,366.740483,12
0.818182,0.01,0.090909,0,520.255336,11
1,0,0,0.916667,170.557326,12
1,4664.84,1,0.583333,910.850489,12
1,712.87,0.083333,0,364.139587,12
1,43,0.083333,1,2959.401317,12
1,574.28,0.25,0.75,2144.047631,12
1,1170,0.583333,0.416667,464.932133,12
1,1671.09,0.5,1,685.226291,12
1,0,0,0,167.149574,12
1,2430,0.083333,1,431.443631,12
1,0,0,0.166667,320.830162,12
1,427.22,0.727273,0.363636,886.050237,11
0.454545,0,0,0.333333,1818.174017,12
1,2926.43,1,1,2351.640064,12
1,0,0,0,262.804339,12
1,465.36,0.25,0,2302.03915,12
0.571429,0,0,0,85.271802,7
1,4005.81,0.75,0.25,2045.063933,12
1,0,0,1,539.543528,12
1,230.43,0.583333,1,183.557875,12
1,2024.6,0.25,1,955.03756,12
0.9,0,0,0,152.648955,10
0.666667,0,0,0,199.745472,6
1,143.12,0.1,0,286.845297,10
0.636364,0,0,0.416667,184.739137,12
1,0,0,0,673.452218,12
1,0,0,0,799.436291,12
0.545455,122.86,0.166667,0.416667,92.899006,12
1,567.76,0.416667,0.083333,275.434078,12
1,72.84,0.083333,0,216.289689,12
1,0,0,0,622.651831,12
1,0,0,0,880.459505,12
1,265.92,1,0.25,181.197901,12
1,0,0,0,659.746433,12
1,1660.51,1,0.916667,173.610118,12
1,278.63,0.166667,1,185.277576,12
1,0,0,0,808.539833,12
1,1408.82,0.5,0.666667,253.774892,12
1,796.11,0.083333,0,1559.810579,12
1,2461.9,0.166667,0,1143.939064,12
1,302.05,0.916667,1,217.082846,12
1,802.77,1,0.333333,162.528519,12
1,0,0,0,418.236345,9
1,0,0,0,280.243063,12
1,0,0,0,473.106541,12
1,0,0,0,1005.215148,12
0.909091,0,0,0,364.18588,12
1,0,0,0.75,411.544387,12
1,94.7,0.166667,0,284.605261,12
1,509.9,0.5,1,1209.124265,12
1,238,0.333333,1,178.930636,12
0.818182,193.5,0.166667,0.333333,157.374987,12
1,1040.99,0.083333,0.083333,208.55975,12
0.909091,0,0,0.416667,172.959558,12
1,808.12,1,1,190.88614,12
1,38,0.083333,0.166667,606.89303,12
1,0,0,0,2793.752245,12
1,1178.02,0.916667,1,170.010384,12
1,60,0.083333,0,208.976648,12
1,0,0,1,165.656889,12
1,0,0,0.25,211.761556,12
1,64.17,0.166667,1,188.635203,12
0.727273,344.86,0.25,0,185.217625,12
1,1616.76,1,0.5,414.775083,12
1,0,0,0,919.457678,12
1,649,0.333333,1,954.24196,12
0.818182,2569.94,0.363636,0,164.400313,11
0.1,153.11,0.2,0,,10
1,6814.47,1,0,1643.130029,12
0.727273,0,0,0.583333,179.548143,12
1,0,0,0.416667,499.536689,12
1,4019.28,0.833333,0,276.007263,12
1,452.96,0.416667,0.416667,229.465974,12
0.818182,0,0,0,853.680867,12
1,0,0,0,308.89183,12
1,435.08,0.916667,0,180.308803,12
0.818182,0,0,0.416667,89.18596,12
1,1597.67,1,0.833333,1676.595311,6
1,402.68,0.083333,1,2967.748073,12
1,802.1,0.916667,0,171.20871,12
1,0,0,0,1220.49839,12
1,0,0,0,1249.695933,12
1,2116.92,0.75,0.75,293.129375,12
1,1262.04,0.666667,0.75,306.046439,12
1,133.5,0.25,0.5,5394.173671,12
0.272727,780,0.166667,0,14.037214,12
1,419.88,0.333333,0.666667,295.29696,12
1,0,0,0.916667,176.632334,12
0.818182,50,0.083333,0,260.16707,12
1,558.69,0.5,1,387.054045,12
1,0,0,1,429.760387,12
1,0,0,0,788.721609,12
1,0,0,0,687.079273,12
0.636364,0,0,0.916667,81.765863,12
1,493.5,0.25,0,3396.356156,12
0.181818,0,0,0.083333,,12
0.909091,0,0,0,461.041625,11
1,0,0,0.833333,170.572744,12
1,0,0,0,421.748003,12
0.625,0,0,0,531.19984,8
1,95,0.083333,0.833333,188.896158,12
0.909091,0,0,0.916667,4.390918,12
1,537.21,1,1,182.612129,12
0,0,0,1,,12
1,548,0.25,0,1330.173932,12
1,0,0,0,477.944936,12
1,250,0.083333,0,867.201399,12
1,741.44,1,0.25,1419.287973,12
1,0,0,1,1698.885114,12
1,0,0,0,671.834242,12
1,293.41,0.333333,0.833333,807.263772,12
0.545455,237.99,0.166667,0,195.089406,12
1,1141.99,0.416667,0.416667,1151.777196,12
1,2182.22,0.916667,0.416667,188.130216,12
1,0,0,0,1291.809944,12
1,0,0,0,523.282646,12
1,0,0,0,395.69903,10
1,0,0,0,582.879568,12
1,160,0.083333,0,389.63531,12
1,1,0.083333,0,947.691932,12
0.818182,0,0,0.416667,163.678855,12
0.818182,0,0,0,2715.036678,11
1,0,0,0.833333,3167.849654,12
1,59.4,0.083333,0,213.16029,12
0.181818,273.8,0.083333,0,259.524372,12
1,0,0,0,654.301721,12
0.727273,33.62,0.083333,0.25,149.884294,12
1,0,0,0.333333,324.359117,12
1,1584.4,0.583333,0.416667,446.67084,12
1,2452.56,0.818182,0.818182,768.82697,11
1,1938.13,1,1,1245.153414,12
1,793.1,0.583333,0,1290.536388,12
0.818182,0,0,0.666667,128.455136,12
1,2338.83,0.916667,0,223.469126,12
1,0,0,1,174.11997,12
1,90,0.083333,0,2091.528879,12
1,0,0,0,288.438136,12
1,990.46,0.166667,1,4231.06356,12
1,0,0,0.083333,224.709183,12
1,8.4,1,0,1917.458466,12
1,0,0,0,1486.185877,12
0.5,1109.91,0.5,0,89.478836,10
0.909091,694.89,0.363636,0.727273,159.547502,11
1,1227.08,1,0.666667,188.333341,12
0.909091,565,0.25,0,471.295665,12
1,369.55,1,1,450.459621,12
1,0,0,0.333333,227.924469,12
1,0,0,1,350.27437,12
0.2,0,0,0.1,,10
1,0,0,0,335.731533,12
1,2170,0.916667,0.916667,193.157628,12
1,464.39,0.166667,0.416667,382.658882,12
1,0,0,0,515.444012,12
0.5,318.79,0.2,0,56.679587,10
1,0,0,0,250.170305,12
1,137.3,0.333333,0.916667,167.657169,12
0.090909,0,0,0.416667,24.499337,12
1,1364.22,0.583333,0.916667,1615.317615,12
0.818182,0,0,0.583333,146.317275,12
1,0,0,0,484.32512,12
1,2303.91,0.5,0.166667,261.268016,12
1,664.21,1,0.333333,1332.067827,12
1,0,0,0,183.86589,9
0.818182,527.78,0.416667,0.333333,164.15189,12
1,101.28,0.181818,0.909091,367.503207,11
1,0,0,0,1078.537276,12
1,945.79,1,0.5,174.857103,12
1,1443.33,0.083333,0,1420.666789,12
0.545455,400,0.083333,0,71.377094,12
1,413.28,0.25,1,1212.047288,12
1,0,0,1,166.788652,12
1,0,0,0,577.463579,11
1,112.57,0.25,0,379.959706,12
1,0,0,0,362.565529,12
1,1245.33,0.5,0,1531.220292,12
1,140.2,1,0,591.069406,12
0.727273,2804.79,1,0.5,53.62807,12
1,107.15,0.333333,0.25,181.597864,12
1,703.58,0.5,0.75,706.199917,12
1,318.91,0.333333,0.25,228.165965,12
1,300,0.166667,1,3175.27696,12
1,540,0.818182,0,247.620077,11
1,1852.06,0.916667,0.166667,425.204466,12
1,542.97,0.083333,0.25,1898.480847,12
1,3974.7,0.833333,0.75,204.763572,12
1,1060,0.111111,0,213.863185,9
1,5904.78,1,1,258.364994,12
1,0,0,0.583333,158.281177,12
1,80,0.083333,0,2141.764453,12
1,45.65,0.083333,0,442.354727,12
1,4938.13,1,1,280.509038,12
0.5,83,0.1,0.5,168.230369,10
1,139.38,0.333333,0.583333,1183.292044,12
1,1450,0.125,0,227.143184,8
1,118.2,0.166667,0.166667,264.497515,6
0.727273,105.78,0.416667,0,88.814442,12
1,71.4,0.083333,0.416667,720.646441,12
1,684.12,0.916667,0.583333,191.931603,12
1,0,0,0,531.398722,12
0.636364,0,0,0.75,248.833196,12
0.363636,426.83,0.416667,0,88.384521,12
1,3608.17,1,0.916667,1688.710521,12
1,1571.35,0.5,0.416667,287.831911,12
1,448.07,0.25,0,1105.400886,12
0.909091,219.37,1,0,76.604414,12
1,0,0,0.583333,3397.732291,12
0.636364,29.6,0.083333,0,108.744838,12
1,144.49,0.416667,0,417.305741,12
1,252,0.166667,0,592.475313,12
1,788.14,0.166667,0,192.452296,12
1,999.08,0.166667,0.583333,2595.332901,12
1,1942.77,0.5,0.75,188.998017,12
1,0,0,1,2972.477983,12
1,905.98,0.583333,0.833333,2016.38299,12
0.272727,161.5,0.166667,0,114.337421,12
1,0,0,0.833333,202.58767,12
1,1567.22,0.916667,0.583333,231.774034,12
1,0,0,0,429.538368,12
1,0,0,1,659.560532,12
0.727273,1155.4,0.083333,0,116.244107,12
0.909091,45.65,0.090909,0,371.232319,11
1,3705.13,1,0.333333,1864.863139,12
0.363636,67.44,0.083333,0,57.564463,12
1,181.63,0.916667,0,960.647101,12
0.727273,0,0,0,362.442402,11
1,0,0,0,372.641361,12
1,214.2,0.25,0.916667,188.340279,12
1,0,0,0,1478.485801,12
1,0,0,1,449.07262,12
0.727273,0,0,0,335.993476,11
0.545455,0,0,0,195.294122,12
1,0,0,0,1809.974326,12
0,176.03,0.125,0,,8
0.636364,0,0,0.583333,145.605731,12
1,249.24,0.25,1,1178.476722,12
1,551.17,0.5,1,1173.307383,12
1,6120.4,1,1,240.601287,12
0.909091,150,0.083333,0.833333,1281.453534,12
1,0,0,0,912.479272,12
1,593,0.166667,1,200.986504,12
0.909091,190.45,0.166667,0,66.465635,12
0.857143,615.85,0.285714,0.571429,350.841821,7
1,200,0.083333,1,189.362616,12
1,109,0.083333,0.583333,792.902894,12
1,0,0,0,214.62422,12
1,0,0,0,353.360027,12
0.272727,0,0,0.333333,55.480481,12
1,173.48,0.166667,0,4682.965732,12
0.181818,0,0,0,55.542128,12
1,117.32,0.25,0,273.139411,12
0.909091,0,0,1,153.531842,12
0.363636,23.91,0.333333,0,22.081988,12
1,377.44,0.333333,1,405.230106,12
1,82,0.083333,0,215.834479,12
1,0,0,0,1608.111732,12
1,45.7,0.083333,0.5,358.574883,12
1,1964.05,0.666667,0.5,169.123707,12
1,985.11,0.666667,1,1960.982734,12
0.571429,0,0,0.714286,73.19845,7
1,0,0,1,175.704497,12
1,93.31,0.083333,0,949.520589,12
0.454545,1561.04,0.333333,1,112.893466,12
1,1088.04,0.333333,0.666667,1237.405459,12
1,11.41,0.166667,0,1013.780486,12
1,2642.14,1,1,436.253648,12
1,538.51,0.333333,0,1471.164439,12
1,365,0.166667,0.416667,784.929199,12
1,0,0,0.416667,872.208375,12
1,0,0,0,4431.645308,12
0.857143,0,0,0,237.414459,7
1,258.43,0.25,1,2268.544117,12
0.909091,0,0,0.916667,130.269702,12
1,0,0,1,1926.566967,12
1,0,0,0,866.693315,12
1,983.24,0.166667,0,2412.958258,12
1,591.71,0.5,0.166667,273.627647,12
1,493.48,0.75,0.333333,521.492992,12
1,0,0,0,1101.578675,12
1,0,0,0,160.863666,12
1,631.27,0.5,0.25,858.064557,12
1,126.24,0.083333,1,259.977392,12
1,299.9,0.25,0,204.447891,12
1,0,0,1,196.362677,12
1,380,0.333333,0,247.45192,12
1,215.87,0.333333,1,224.547489,12
1,2530.12,1,0,594.769152,12
1,0,0,0.916667,3379.593046,12
1,1245.3,1,1,201.214315,12
1,6138.57,1,1,243.938058,12
0.818182,377.81,0.416667,0.5,892.117717,12
1,0,0,0,3102.98565,12
0.545455,0,0,0,153.782546,12
0.909091,162.7,0.083333,0.416667,114.183944,12
1,0,0,0.833333,157.208204,12
1,1205.75,0.25,0.333333,559.169569,12
1,0,0,0,188.435841,12
0.571429,233.9,0.428571,0,53.9438,7
1,0,0,1,130.862225,12
1,6519.19,0.583333,0.916667,3745.116848,12
1,0,0,1,2927.486552,12
1,0,0,0,765.751845,12
1,536,0.25,0.416667,169.229664,12
0.875,0,0,0,254.022569,8
1,0,0,0,587.957563,12
1,0,0,1,64.517961,12
0.181818,0,0,1,29.584288,12
1,0,0,0.666667,193.758424,12
1,1543.89,1,0.416667,1480.26633,12
1,1198.89,0.333333,0.333333,1079.066979,12
1,696.08,0.583333,1,192.272514,12
0.909091,0,0,0,1095.734566,12
0.909091,0,0,0.333333,126.692506,12
1,123.24,0.166667,0,1961.413154,12
1,0,0,0.916667,1038.182688,12
1,0,0,0,1719.694161,12
1,177,0.083333,0,221.171027,12
1,3802.21,0.75,1,830.39506,12
1,1033.6,0.416667,0.666667,1438.031851,12
1,0,0,0,799.591816,12
1,263.04,0.083333,0,325.737106,12
1,902.6,0.416667,1,219.629629,12
1,0,0,0,453.831541,12
1,0,0,0,848.973008,12
1,3466.22,0.25,0.916667,233.917424,12
1,140.6,0.083333,0,1489.130441,12
1,2002.9,0.25,1,1148.902535,12
0.545455,3044.6,0.166667,0,332.787755,12
1,61.9,0.083333,0.416667,145.637604,12
1,1031.85,0.583333,0.416667,3098.62505,12
1,0,0,1,15584.09742,12
0.727273,34.9,0.083333,0.916667,32.376453,12
1,1419.07,1,1,246.737259,12
1,765,0.125,0,146.352314,8
1,1595.93,0.454545,0,2376.919568,11
0,0,0,0.916667,,12
1,400,0.083333,0.416667,289.747401,12
0.818182,0,0,1,97.944748,12
0.272727,110,0.083333,0,1117.265123,12
1,0,0,0,681.959088,12
0.545455,62.7,0.083333,0,164.519883,12
1,0,0,1,139.958805,12
1,4464.76,0.833333,0.5,534.578893,12
1,0,0,1,62.817278,12
1,37.5,0.166667,0.833333,189.29217,12
1,0,0,0.416667,268.075781,12
1,2171.8,0.5,0.833333,330.579046,12
1,971.97,1,0.416667,178.416176,12
1,649.42,0.25,0.333333,3331.513399,12
1,0,0,0,26143.17049,12
1,0,0,0,602.387923,12
1,858.5,0.333333,0,597.63665,12
1,0,0,0,1431.909784,11
1,0,0,0.416667,1475.694904,12
0.181818,0,0,0.090909,80.613743,11
0.727273,0,0,0,547.238675,12
1,55.69,0.083333,0,544.723121,12
1,3870.15,1,0.416667,184.31048,12
1,1000,0.083333,0,1766.055701,12
1,638.91,0.25,0.5,1076.480794,12
1,140,0.083333,1,467.239217,12
0.8,0,0,0.5,115.03052,10
1,0,0,1,768.758551,12
1,375.25,0.083333,0.166667,1172.150883,12
0.428571,0,0,1,74.812454,7
1,0,0,0,2012.365718,12
1,598.09,0.916667,1,191.480116,12
1,497.08,0.5,0.833333,1978.414023,12
1,659.62,0.416667,0.5,981.877595,12
1,136.8,0.166667,1,177.683227,12
1,432.8,1,0.75,192.197394,12
1,1243.5,0.416667,0.416667,346.844936,12
1,882.78,0.416667,1,1393.490557,12
0.909091,0,0,0,335.991369,12
1,0,0,0,1470.361933,12
1,0,0,0,681.529737,12
1,29.5,0.1,0,1267.37587,10
1,0,0,0,73.411615,12
0.636364,0,0,0.5,170.087703,12
1,3975.98,0.666667,0.25,474.667356,12
1,0,0,0,3127.192305,12
0.875,118.16,0.125,0,56.999671,8
0.727273,853.3,0.25,0,73.600798,12
1,1674.75,1,0.666667,341.5862,12
0.3,0,0,0.3,71.59927,10
0.727273,57,0.083333,0.333333,156.812691,12
1,231.87,0.083333,0.25,269.655125,12
1,307.12,0.083333,0,470.192366,12
1,0,0,0,233.54565,7
0.727273,57,0.083333,0,256.881348,12
1,0,0,1,2374.370421,12
1,0,0,0,1240.254115,12
1,0,0,0.25,267.430198,12
1,54.46,0.083333,0.916667,1968.717366,12
0.909091,2325.16,0.5,0.75,167.823077,12
1,0,0,0.75,1447.893709,12
1,70,0.083333,0.5,3196.171515,12
1,0,0,0.833333,1613.401207,12
1,260,0.083333,0.416667,821.066878,12
0.909091,1325.34,0.583333,1,3163.402977,12
1,888.98,0.416667,0,1200.960907,12
0.888889,2513.46,0.222222,0,836.641054,9
0.545455,1475.23,1,0,34.819015,12
1,2416.7,0.333333,0.833333,1499.391822,12
0.727273,608,0.083333,0.333333,564.472958,12
0.5,0,0,0.875,54.734326,8
0.909091,827.35,0.083333,1,190.754221,12
1,187,0.166667,0.166667,586.693702,12
1,229.02,0.454545,0.181818,505.940539,11
0.545455,1020,0.25,0.166667,751.737661,12
1,0,0,1,164.687639,12
1,0,0,0.583333,2580.556298,12
1,75.5,0.166667,0,603.340807,12
0.666667,0,0,0,1952.041626,6
1,0,0,0,1228.996607,12
0.909091,0,0,0,1131.588644,11
1,0,0,0,1348.605697,12
1,0,0,0.857143,849.32088,7
1,1017.21,0.583333,0.416667,227.004657,12
1,229,0.181818,0,252.515849,11
1,0,0,0,477.284193,12
1,445.98,0.416667,0.416667,201.964603,12
0.090909,0,0,0,32.585321,12
1,1627,0.333333,0,613.912928,12
1,1375.61,1,0.5,190.034881,12
1,1080.65,0.666667,1,1182.650916,12
0.909091,5176.62,0.666667,0,172.888946,12
0.909091,0,0,0.916667,120.554003,12
1,1026.26,0.583333,0,1417.69815,12
1,2072.32,1,0.583333,178.352824,12
1,0,0,0,240.366583,12
0.454545,0,0,0,260.21665,12
1,2169.35,1,1,931.22828,12
1,0,0,0,466.08332,12
1,0,0,1,168.926878,12
0,0,0,1,,12
0.181818,1074,0.083333,0,,12
1,0,0,0.333333,423.0202,12
1,0,0,0.333333,205.529399,12
1,30,0.083333,0,570.913732,12
0.636364,0,0,0,476.217118,12
1,50,0.083333,1,4725.470314,12
1,0,0,0.666667,6019.766066,12
0.727273,0,0,0,145.445603,12
1,972.01,0.416667,0.416667,968.817429,12
1,0,0,0,507.635447,12
0.636364,0,0,0.416667,66.224535,12
0.454545,0,0,0.25,132.939468,12
1,3195.58,0.333333,0.75,1320.011574,12
1,4316.82,0.333333,1,252.899236,12
1,431.75,0.666667,0.416667,273.503587,12
0.909091,896,0.166667,0.166667,140.519148,12
1,200,0.083333,0,3419.12662,12
1,2012.38,0.583333,1,156.424862,12
1,1197.12,1,0,180.002457,12
0.857143,1759.46,0.571429,0,415.235431,7
1,0,0,1,185.055438,12
0.833333,0,0,0,983.378772,6
1,0,0,0,469.990207,12
1,86.69,0.083333,0,351.085178,12
1,463.04,0.916667,0.583333,174.963013,12
0.545455,0,0,0.5,82.436727,12
0.545455,0,0,0.75,160.568063,12
1,1296.69,0.666667,0.083333,528.790549,12
0.909091,0,0,0,206.790234,12
1,585.87,1,0,182.613309,12
0.454545,0,0,0,254.748687,12
